Index: 0, Class ID: n01440764, Label: tench
Index: 248, Class ID: n02109961, Label: Eskimo_dog
Index: 249, Class ID: n02110063, Label: malamute
Index: 250, Class ID: n02110185, Label: Siberian_husky
Index: 251, Class ID: n02110341, Label: dalmatian
Index: 252, Class ID: n02110627, Label: affenpinscher
Index: 253, Class ID: n02110806, Label: basenji
Index: 254, Class ID: n02110958, Label: pug
Index: 255, Class ID: n02111129, Label: Leonberg
Index: 256, Class ID: n02111277, Label: Newfoundland
Index: 257, Class ID: n02111500, Label: Great_Pyrenees
Index: 258, Class ID: n02111889, Label: Samoyed
Index: 259, Class ID: n02112018, Label: Pomeranian
Index: 260, Class ID: n02112137, Label: chow
Index: 261, Class ID: n02112350, Label: keeshond
Index: 262, Class ID: n02112706, Label: Brabancon_griffon
Index: 263, Class ID: n02113023, Label: Pembroke
Index: 264, Class ID: n02113186, Label: Cardigan
Index: 265, Class ID: n02113624, Label: toy_poodle
Index: 266, Class ID: n02113712, Label: miniature_poodle
Index: 267, Class ID: n02113799, Label: standard_poodle
Index: 268, Class ID: n02113978, Label: Mexican_hairless
Index: 269, Class ID: n02114367, Label: timber_wolf
Index: 270, Class ID: n02114548, Label: white_wolf
Index: 271, Class ID: n02114712, Label: red_wolf
Index: 272, Class ID: n02114855, Label: coyote
Index: 273, Class ID: n02115641, Label: dingo
Index: 274, Class ID: n02115913, Label: dhole
Index: 275, Class ID: n02116738, Label: African_hunting_dog
Index: 276, Class ID: n02117135, Label: hyena
Index: 277, Class ID: n02119022, Label: red_fox
Index: 278, Class ID: n02119789, Label: kit_fox
Index: 279, Class ID: n02120079, Label: Arctic_fox
Index: 280, Class ID: n02120505, Label: grey_fox
Index: 281, Class ID: n02123045, Label: tabby
Index: 282, Class ID: n02123159, Label: tiger_cat
Index: 283, Class ID: n02123394, Label: Persian_cat
Index: 284, Class ID: n02123597, Label: Siamese_cat
Index: 285, Class ID: n02124075, Label: Egyptian_cat
Index: 286, Class ID: n02125311, Label: cougar
Index: 287, Class ID: n02127052, Label: lynx
Index: 288, Class ID: n02128385, Label: leopard
Index: 289, Class ID: n02128757, Label: snow_leopard
Index: 290, Class ID: n02128925, Label: jaguar
Index: 291, Class ID: n02129165, Label: lion
Index: 292, Class ID: n02129604, Label: tiger
Index: 293, Class ID: n02130308, Label: cheetah
Index: 294, Class ID: n02132136, Label: brown_bear
Index: 295, Class ID: n02133161, Label: American_black_bear
Index: 296, Class ID: n02134084, Label: ice_bear
Index: 297, Class ID: n02134418, Label: sloth_bear
Index: 298, Class ID: n02137549, Label: mongoose
Index: 299, Class ID: n02138441, Label: meerkat
Index: 300, Class ID: n02165105, Label: tiger_beetle
Index: 301, Class ID: n02165456, Label: ladybug
Index: 302, Class ID: n02167151, Label: ground_beetle
Index: 303, Class ID: n02168699, Label: long-horned_beetle
Index: 304, Class ID: n02169497, Label: leaf_beetle
Index: 305, Class ID: n02172182, Label: dung_beetle
Index: 306, Class ID: n02174001, Label: rhinoceros_beetle
Index: 307, Class ID: n02177972, Label: weevil
Index: 308, Class ID: n02190166, Label: fly
Index: 309, Class ID: n02206856, Label: bee
Index: 310, Class ID: n02219486, Label: ant
Index: 311, Class ID: n02226429, Label: grasshopper
Index: 312, Class ID: n02229544, Label: cricket
Index: 313, Class ID: n02231487, Label: walking_stick
Index: 314, Class ID: n02233338, Label: cockroach
Index: 315, Class ID: n02236044, Label: mantis
Index: 316, Class ID: n02256656, Label: cicada
Index: 317, Class ID: n02259212, Label: leafhopper
Index: 318, Class ID: n02264363, Label: lacewing
Index: 319, Class ID: n02268443, Label: dragonfly
Index: 320, Class ID: n02268853, Label: damselfly
Index: 321, Class ID: n02276258, Label: admiral
Index: 322, Class ID: n02277742, Label: ringlet
Index: 323, Class ID: n02279972, Label: monarch
Index: 324, Class ID: n02280649, Label: cabbage_butterfly
Index: 325, Class ID: n02281406, Label: sulphur_butterfly
Index: 326, Class ID: n02281787, Label: lycaenid
Index: 327, Class ID: n02317335, Label: starfish
Index: 328, Class ID: n02319095, Label: sea_urchin
Index: 329, Class ID: n02321529, Label: sea_cucumber
Index: 330, Class ID: n02325366, Label: wood_rabbit
Index: 331, Class ID: n02326432, Label: hare
Index: 332, Class ID: n02328150, Label: Angora
Index: 333, Class ID: n02342885, Label: hamster
Index: 334, Class ID: n02346627, Label: porcupine
Index: 335, Class ID: n02356798, Label: fox_squirrel
Index: 336, Class ID: n02361337, Label: marmot
Index: 337, Class ID: n02363005, Label: beaver
Index: 338, Class ID: n02364673, Label: guinea_pig
Index: 339, Class ID: n02389026, Label: sorrel
Index: 340, Class ID: n02391049, Label: zebra
Index: 341, Class ID: n02395406, Label: hog
Index: 342, Class ID: n02396427, Label: wild_boar
Index: 343, Class ID: n02397096, Label: warthog
Index: 344, Class ID: n02398521, Label: hippopotamus
Index: 345, Class ID: n02403003, Label: ox
Index: 346, Class ID: n02408429, Label: water_buffalo
Index: 347, Class ID: n02410509, Label: bison
Index: 348, Class ID: n02412080, Label: ram
Index: 349, Class ID: n02415577, Label: bighorn
Index: 350, Class ID: n02417914, Label: ibex
Index: 351, Class ID: n02422106, Label: hartebeest
Index: 352, Class ID: n02422699, Label: impala
Index: 353, Class ID: n02423022, Label: gazelle
Index: 354, Class ID: n02437312, Label: Arabian_camel
Index: 355, Class ID: n02437616, Label: llama
Index: 356, Class ID: n02441942, Label: weasel
Index: 357, Class ID: n02442845, Label: mink
Index: 358, Class ID: n02443114, Label: polecat
Index: 359, Class ID: n02443484, Label: black-footed_ferret
Index: 360, Class ID: n02444819, Label: otter
Index: 361, Class ID: n02445715, Label: skunk
Index: 362, Class ID: n02447366, Label: badger
Index: 363, Class ID: n02454379, Label: armadillo
Index: 364, Class ID: n02457408, Label: three-toed_sloth
Index: 365, Class ID: n02480495, Label: orangutan
Index: 366, Class ID: n02480855, Label: gorilla
Index: 367, Class ID: n02481823, Label: chimpanzee
Index: 368, Class ID: n02483362, Label: gibbon
Index: 369, Class ID: n02483708, Label: siamang
Index: 370, Class ID: n02484975, Label: guenon
Index: 371, Class ID: n02486261, Label: patas
Index: 372, Class ID: n02486410, Label: baboon
Index: 373, Class ID: n02487347, Label: macaque
Index: 374, Class ID: n02488291, Label: langur
Index: 375, Class ID: n02488702, Label: colobus
Index: 376, Class ID: n02489166, Label: proboscis_monkey
Index: 377, Class ID: n02490219, Label: marmoset
Index: 378, Class ID: n02492035, Label: capuchin
Index: 379, Class ID: n02492660, Label: howler_monkey
Index: 380, Class ID: n02493509, Label: titi
Index: 381, Class ID: n02493793, Label: spider_monkey
Index: 382, Class ID: n02494079, Label: squirrel_monkey
Index: 383, Class ID: n02497673, Label: Madagascar_cat
Index: 384, Class ID: n02500267, Label: indri
Index: 385, Class ID: n02504013, Label: Indian_elephant
Index: 386, Class ID: n02504458, Label: African_elephant
Index: 387, Class ID: n02509815, Label: lesser_panda
Index: 388, Class ID: n02510455, Label: giant_panda
Index: 389, Class ID: n02514041, Label: barracouta
Index: 390, Class ID: n02526121, Label: eel
Index: 391, Class ID: n02536864, Label: coho
Index: 392, Class ID: n02606052, Label: rock_beauty
Index: 393, Class ID: n02607072, Label: anemone_fish
Index: 394, Class ID: n02640242, Label: sturgeon
Index: 395, Class ID: n02641379, Label: gar
Index: 396, Class ID: n02643566, Label: lionfish
Index: 397, Class ID: n02655020, Label: puffer
Index: 398, Class ID: n02666196, Label: abacus
Index: 399, Class ID: n02667093, Label: abaya
Index: 400, Class ID: n02669723, Label: academic_gown
Index: 401, Class ID: n02672831, Label: accordion
Index: 402, Class ID: n02676566, Label: acoustic_guitar
Index: 403, Class ID: n02687172, Label: aircraft_carrier
Index: 404, Class ID: n02690373, Label: airliner
Index: 405, Class ID: n02692877, Label: airship
Index: 406, Class ID: n02699494, Label: altar
Index: 407, Class ID: n02701002, Label: ambulance
Index: 408, Class ID: n02704792, Label: amphibian
Index: 409, Class ID: n02708093, Label: analog_clock
Index: 410, Class ID: n02727426, Label: apiary
Index: 411, Class ID: n02730930, Label: apron
Index: 412, Class ID: n02747177, Label: ashcan
Index: 413, Class ID: n02749479, Label: assault_rifle
Index: 414, Class ID: n02769748, Label: backpack
Index: 415, Class ID: n02776631, Label: bakery
Index: 416, Class ID: n02777292, Label: balance_beam
Index: 417, Class ID: n02782093, Label: balloon
Index: 418, Class ID: n02783161, Label: ballpoint
Index: 419, Class ID: n02786058, Label: Band_Aid
Index: 420, Class ID: n02787622, Label: banjo
Index: 421, Class ID: n02788148, Label: bannister
Index: 422, Class ID: n02790996, Label: barbell
Index: 423, Class ID: n02791124, Label: barber_chair
Index: 424, Class ID: n02791270, Label: barbershop
Index: 425, Class ID: n02793495, Label: barn
Index: 426, Class ID: n02794156, Label: barometer
Index: 427, Class ID: n02795169, Label: barrel
Index: 428, Class ID: n02797295, Label: barrow
Index: 429, Class ID: n02799071, Label: baseball
Index: 430, Class ID: n02802426, Label: basketball
Index: 431, Class ID: n02804414, Label: bassinet
Index: 432, Class ID: n02804610, Label: bassoon
Index: 433, Class ID: n02807133, Label: bathing_cap
Index: 434, Class ID: n02808304, Label: bath_towel
Index: 435, Class ID: n02808440, Label: bathtub
Index: 436, Class ID: n02814533, Label: beach_wagon
Index: 437, Class ID: n02814860, Label: beacon
Index: 438, Class ID: n02815834, Label: beaker
Index: 439, Class ID: n02817516, Label: bearskin
Index: 440, Class ID: n02823428, Label: beer_bottle
Index: 441, Class ID: n02823750, Label: beer_glass
Index: 442, Class ID: n02825657, Label: bell_cote
Index: 443, Class ID: n02834397, Label: bib
Index: 444, Class ID: n02835271, Label: bicycle-built-for-two
Index: 445, Class ID: n02837789, Label: bikini
Index: 446, Class ID: n02840245, Label: binder
Index: 447, Class ID: n02841315, Label: binoculars
Index: 448, Class ID: n02843684, Label: birdhouse
Index: 449, Class ID: n02859443, Label: boathouse
Index: 450, Class ID: n02860847, Label: bobsled
Index: 451, Class ID: n02865351, Label: bolo_tie
Index: 452, Class ID: n02869837, Label: bonnet
Index: 453, Class ID: n02870880, Label: bookcase
Index: 454, Class ID: n02871525, Label: bookshop
Index: 455, Class ID: n02877765, Label: bottlecap
Index: 456, Class ID: n02879718, Label: bow
Index: 457, Class ID: n02883205, Label: bow_tie
Index: 458, Class ID: n02892201, Label: brass
Index: 459, Class ID: n02892767, Label: brassiere
Index: 460, Class ID: n02894605, Label: breakwater
Index: 461, Class ID: n02895154, Label: breastplate
Index: 462, Class ID: n02906734, Label: broom
Index: 463, Class ID: n02909870, Label: bucket
Index: 464, Class ID: n02910353, Label: buckle
Index: 465, Class ID: n02916936, Label: bulletproof_vest
Index: 466, Class ID: n02917067, Label: bullet_train
Index: 467, Class ID: n02927161, Label: butcher_shop
Index: 468, Class ID: n02930766, Label: cab
Index: 469, Class ID: n02939185, Label: caldron
Index: 470, Class ID: n02948072, Label: candle
Index: 471, Class ID: n02950826, Label: cannon
Index: 472, Class ID: n02951358, Label: canoe
Index: 473, Class ID: n02951585, Label: can_opener
Index: 474, Class ID: n02963159, Label: cardigan
Index: 475, Class ID: n02965783, Label: car_mirror
Index: 476, Class ID: n02966193, Label: carousel
Index: 477, Class ID: n02966687, Label: carpenter's_kit
Index: 478, Class ID: n02971356, Label: carton
Index: 479, Class ID: n02974003, Label: car_wheel
Index: 480, Class ID: n02977058, Label: cash_machine
Index: 481, Class ID: n02978881, Label: cassette
Index: 482, Class ID: n02979186, Label: cassette_player
Index: 483, Class ID: n02980441, Label: castle
Index: 484, Class ID: n02981792, Label: catamaran
Index: 485, Class ID: n02988304, Label: CD_player
Index: 486, Class ID: n02992211, Label: cello
Index: 487, Class ID: n02992529, Label: cellular_telephone
Index: 488, Class ID: n02999410, Label: chain
Index: 489, Class ID: n03000134, Label: chainlink_fence
Index: 490, Class ID: n03000247, Label: chain_mail
Index: 491, Class ID: n03000684, Label: chain_saw
Index: 492, Class ID: n03014705, Label: chest
Index: 493, Class ID: n03016953, Label: chiffonier
Index: 494, Class ID: n03017168, Label: chime
Index: 495, Class ID: n03018349, Label: china_cabinet
Index: 496, Class ID: n03026506, Label: Christmas_stocking
Index: 497, Class ID: n03028079, Label: church
Index: 498, Class ID: n03032252, Label: cinema
Index: 499, Class ID: n03041632, Label: cleaver
Index: 500, Class ID: n03042490, Label: cliff_dwelling
Index: 501, Class ID: n03045698, Label: cloak
Index: 502, Class ID: n03047690, Label: clog
Index: 503, Class ID: n03062245, Label: cocktail_shaker
Index: 504, Class ID: n03063599, Label: coffee_mug
Index: 505, Class ID: n03063689, Label: coffeepot
Index: 506, Class ID: n03065424, Label: coil
Index: 507, Class ID: n03075370, Label: combination_lock
Index: 508, Class ID: n03085013, Label: computer_keyboard
Index: 509, Class ID: n03089624, Label: confectionery
Index: 510, Class ID: n03095699, Label: container_ship
Index: 511, Class ID: n03100240, Label: convertible
Index: 512, Class ID: n03109150, Label: corkscrew
Index: 513, Class ID: n03110669, Label: cornet
Index: 514, Class ID: n03124043, Label: cowboy_boot
Index: 515, Class ID: n03124170, Label: cowboy_hat
Index: 516, Class ID: n03125729, Label: cradle
Index: 517, Class ID: n03126707, Label: crane
Index: 518, Class ID: n03127747, Label: crash_helmet
Index: 519, Class ID: n03127925, Label: crate
Index: 520, Class ID: n03131574, Label: crib
Index: 521, Class ID: n03133878, Label: Crock_Pot
Index: 522, Class ID: n03134739, Label: croquet_ball
Index: 523, Class ID: n03141823, Label: crutch
Index: 524, Class ID: n03146219, Label: cuirass
Index: 525, Class ID: n03160309, Label: dam
Index: 526, Class ID: n03179701, Label: desk
Index: 527, Class ID: n03180011, Label: desktop_computer
Index: 528, Class ID: n03187595, Label: dial_telephone
Index: 529, Class ID: n03188531, Label: diaper
Index: 530, Class ID: n03196217, Label: digital_clock
Index: 531, Class ID: n03197337, Label: digital_watch
Index: 532, Class ID: n03201208, Label: dining_table
Index: 533, Class ID: n03207743, Label: dishrag
Index: 534, Class ID: n03207941, Label: dishwasher
Index: 535, Class ID: n03208938, Label: disk_brake
Index: 536, Class ID: n03216828, Label: dock
Index: 537, Class ID: n03218198, Label: dogsled
Index: 538, Class ID: n03220513, Label: dome
Index: 539, Class ID: n03223299, Label: doormat
Index: 540, Class ID: n03240683, Label: drilling_platform
Index: 541, Class ID: n03249569, Label: drum
Index: 542, Class ID: n03250847, Label: drumstick
Index: 543, Class ID: n03255030, Label: dumbbell
Index: 544, Class ID: n03259280, Label: Dutch_oven
Index: 545, Class ID: n03271574, Label: electric_fan
Index: 546, Class ID: n03272010, Label: electric_guitar
Index: 547, Class ID: n03272562, Label: electric_locomotive
Index: 548, Class ID: n03290653, Label: entertainment_center
Index: 549, Class ID: n03291819, Label: envelope
Index: 550, Class ID: n03297495, Label: espresso_maker
Index: 551, Class ID: n03314780, Label: face_powder
Index: 552, Class ID: n03325584, Label: feather_boa
Index: 553, Class ID: n03337140, Label: file
Index: 554, Class ID: n03344393, Label: fireboat
Index: 555, Class ID: n03345487, Label: fire_engine
Index: 556, Class ID: n03347037, Label: fire_screen
Index: 557, Class ID: n03355925, Label: flagpole
Index: 558, Class ID: n03372029, Label: flute
Index: 559, Class ID: n03376595, Label: folding_chair
